country_code,country,year,fdi,fixed_broadband,government_education,hightech_exports,internet_users,manufacturing_value_added,patent_nonresident,patent_resident,rd_expenditure,researchers_rd,tertiary_enrolment
IND,India,2004,0.765596855110284,0.0206867742681806,3.35254001617432,,1.97613649190559,15.8272457405027,13452.0,4014.0,0.7569,,11.3926801681519
IND,India,2005,0.886098378458823,0.116742672757431,3.18876004219055,,2.388099909,15.9730170446131,19661.0,4721.0,0.82411,135.14649,11.1277303695679
IND,India,2006,2.13016842534495,0.196098678184923,3.14284992218018,,2.80549986534254,17.3036533311925,23242.0,5686.0,0.80473,,11.9628095626831
IND,India,2007,2.07339404668754,0.262875874276131,,,3.95,16.8645677754068,28922.0,6296.0,0.80507,,13.6564798355103
IND,India,2008,3.6205232354017,0.437111073178848,,,4.38,17.0986741489578,30387.0,6425.0,0.85876,,15.6485204696655
IND,India,2009,2.65159033235479,0.632032113675308,3.27824997901917,9.56909614274288,5.12,17.1435776672846,27025.0,7262.0,0.83314,,16.6775093078613
IND,India,2010,1.6350340943491,0.883808841093522,3.377690076828,7.73016032755592,7.5,17.0299342498624,30909.0,8853.0,0.78849,156.19059,18.6971831309683
IND,India,2011,2.0020634629993,1.05858887089543,3.79618000984192,7.87117262454535,10.07,16.1393374446289,33450.0,8841.0,0.75502,,23.8253684220097
IND,India,2012,1.31293453035323,1.17169600055105,3.8675000667572,7.70439427946636,11.10000038,15.8169230071066,34402.0,9553.0,0.74399,,24.9402082606779
IND,India,2013,1.5162764665975,1.15197793176359,3.84467005729675,8.87350364988968,12.30000019,15.253022692586,32362.0,10669.0,0.70642,,24.390638443123
IND,India,2014,1.69565958990806,1.20020374567342,3.89878023242693,9.22122174793918,13.5,15.0655701107589,30814.0,12040.0,0.70158,,25.991324706788
IND,India,2015,2.09211521443253,1.27578595315943,4.1145601272583,8.02476917234515,14.89999962,15.5838545863713,33079.0,12579.0,0.6931,214.34935,27.2845677075978
IND,India,2016,1.9373641224439,1.38795276378032,4.25406980514526,7.66325704378624,16.5,15.1622371332529,31858.0,13199.0,0.66984,,27.3043573857643
IND,India,2017,1.50731583255894,1.31327377028949,4.30543994903565,7.36208114076572,18.20000076,15.0182387501718,31621.0,14961.0,0.66603,,27.9090519049334
IND,India,2018,1.55821483801456,1.3217822859385,4.36374998092651,9.04145168835151,20.0813000379384,14.8815306673017,33766.0,16289.0,0.66001,250.00794,28.5316865291946
IND,India,2019,1.78482633957161,1.37913181839908,3.89732003211975,10.2237396907979,29.52350044,13.4558075633394,34173.0,19454.0,0.65942,,29.0233593907143
IND,India,2020,2.40620322673636,1.63622632751685,4.29335021972656,11.0325638466576,43.40544313,14.1204853576923,33630.0,23141.0,0.64558,259.26325,29.8196397708424
IND,India,2021,1.41217101040888,1.9487996093033,4.62949991226196,10.2125596625118,49.2580986,14.3770288531286,35306.0,26267.0,,,31.5741765984501
IND,India,2022,1.53665241748393,2.35231555917724,4.09865814174589,12.6822794807287,55.9,13.3327202623974,,,,,32.6703053423023
IND,India,2023,0.802254995836756,2.74534696441771,,14.9343472986716,60.25230026,13.312843875072,,,,,34.2394344991225
IND,India,2024,0.721648483526777,3.15046250037677,,18.5723946411049,64.9434967,13.1392199491326,,,,,34.4184659748952
IND,India,2025,0.988285383995246,,,,70.0,13.4710550684648,,,,,34.4465039692543
ISR,Israel,2000,5.89949838299584,,5.93116998672485,,20.8737899981674,16.5594666698272,5203.0,1599.0,3.81316,,
ISR,Israel,2001,1.3131522258027,0.700720864692582,6.17636013031006,,17.3786238639049,15.2660584204072,5521.0,1248.0,4.05338,,51.1147117614746
ISR,Israel,2002,1.26381649811692,3.62669309237099,6.24923992156982,,17.7645990630493,14.6195517258974,5095.0,1213.0,3.99197,,55.8358116149902
ISR,Israel,2003,2.53049066402201,9.73577617095352,6.13486003875732,,19.5933936579649,14.2145451148657,4569.0,1329.0,3.76142,,55.2073287963867
ISR,Israel,2004,2.10605044907695,14.8146199740079,5.75040006637573,,22.7704855254035,14.0232634217693,4870.0,1544.0,3.74703,,54.5026702880859
ISR,Israel,2005,3.27012530253451,18.2756889429366,5.56489992141724,,25.19400024,14.7673362817573,5157.0,1669.0,3.91123,,55.645191192627
ISR,Israel,2006,9.0705160460163,20.7626147861378,5.58409023284912,,27.8810997,15.0283379470689,6154.0,1342.0,4.01416,,54.7331390380859
ISR,Israel,2007,4.76993944503941,21.9534632539815,5.33169984817505,7.62716744231259,48.1280621948445,15.3681304031082,6394.0,1615.0,4.28533,,57.3098487854004
ISR,Israel,2008,4.64995928220569,23.7765120816873,5.40716981887817,17.0560538737395,59.39,14.8323485847392,6214.0,1528.0,4.24165,,56.7789001464844
ISR,Israel,2009,2.16172057771712,23.9103114918258,5.34174013137817,23.3965145235289,63.12,13.9998606147828,5387.0,1387.0,4.01799,,59.5300903320312
ISR,Israel,2010,2.91791645550029,24.0161325167121,5.40408992767334,19.3753611640664,67.5,14.043791039316,5856.0,1450.0,3.8421,,62.1285705566406
ISR,Israel,2011,3.23187455100204,25.1508929901568,5.42928981781006,18.3985722541565,68.8738779907441,13.5908818669391,5526.0,1360.0,3.91608,,62.7604484558105
ISR,Israel,2012,3.42638899025665,25.460778308521,5.56122016906738,19.8939600431067,70.8,13.7690007635811,5473.0,1319.0,4.06028,,64.2354736328125
ISR,Israel,2013,3.9732882944923,25.8472324040417,5.76972007751465,19.0362582405147,70.250311945,12.9828311268844,4984.0,1201.0,4.10651,,62.6519393920898
ISR,Israel,2014,1.92409260277085,26.9843193373229,5.69225978851318,19.4130528417277,75.0177531628076,12.5092649781181,5148.0,1125.0,4.19613,,62.6224403381348
ISR,Israel,2015,3.7432820780929,26.9840410445519,5.79657983779907,23.6539775366063,77.3520896572253,12.9237212257425,5623.0,1285.0,4.29761,,61.6271781921387
ISR,Israel,2016,3.73360294740648,27.5030283172787,5.80271005630493,21.8196172712291,79.6531241815281,12.0961436457446,5119.0,1300.0,4.59051,,61.4426498413086
ISR,Israel,2017,4.72701516315835,28.00833361537,6.00425004959106,21.0679788533896,81.5811835871611,11.5023862456544,5377.0,1436.0,4.74032,,60.3434600830078
ISR,Israel,2018,5.73001193313582,28.6131707306182,6.06919002532959,22.5362840096475,83.7331569615326,11.678065693861,5857.0,1506.0,4.91965,,58.6109886169434
ISR,Israel,2019,4.34923898223678,28.6567652412239,6.06899976730347,23.0916656017552,86.7878776180583,11.6354672967477,6370.0,1368.0,5.35528,,57.4564514160156
ISR,Israel,2020,5.10300458684,29.5678161933081,6.51824998855591,28.197643074759,90.12734091,12.3190734802149,6481.0,1642.0,5.83209,,57.633861541748
ISR,Israel,2021,3.86941902029446,29.7078785417387,6.16727018356323,29.5956758722761,90.29689758,11.9008173223304,8017.0,1592.0,5.75725,,60.2585487365723
ISR,Israel,2022,4.35745092445992,29.1676695245416,5.93291997909546,29.1090540410523,91.85079615,12.0735689690971,,,6.17831,,58.9500617980957
ISR,Israel,2023,3.14968991459396,29.4357235504327,,34.9377735824443,87.03842615,11.4833400691841,,,6.34589,,57.143440246582
ISR,Israel,2024,2.7251194069041,29.1837101461688,,37.2335173751738,88.18242225,11.2422190872096,,,,,56.2561111450195
ISR,Israel,2025,4.29339412127743,,,,,,,,,,
KOR,South Korea,2000,1.92630076608706,8.27512573540369,,,44.7,26.591050957139,29179.0,72831.0,2.0494,2324.08478,74.6898574829102
KOR,South Korea,2001,1.14917273381718,16.6187152698861,,,56.6,25.1376270244517,30898.0,73714.0,2.19872,2906.71111,77.3433532714844
KOR,South Korea,2002,0.842304427693724,21.9993226089619,,,59.4,24.7767716060025,29566.0,76570.0,2.13042,3007.81714,80.7160491943359
KOR,South Korea,2003,0.962229414316563,23.5266686815046,,,65.5,24.4315182881075,28338.0,90313.0,2.19657,3189.96825,84.4563903808594
KOR,South Korea,2004,1.61486572889407,24.994067246262,,,72.7,26.4144323811178,34865.0,105250.0,2.35292,3281.04385,89.8009033203125
KOR,South Korea,2005,1.403996477148,25.4760546993955,,,73.5,26.0918099370413,38733.0,122188.0,2.42725,3763.23464,95.3700103759766
KOR,South Korea,2006,0.836569086676283,29.2516487032032,,,78.1,25.7222784544775,40713.0,125476.0,2.61516,4173.2456,99.9493103027344
KOR,South Korea,2007,0.722975995794071,30.5325293113359,,32.4282584168837,78.8,25.9241510203287,43768.0,128701.0,2.75895,4614.74679,102.949272155762
KOR,South Korea,2008,1.02488987542862,32.0017644786606,,30.4501393108657,81.0,26.0793572324032,43518.0,127114.0,2.86774,4892.49313,103.136177062988
KOR,South Korea,2009,0.917731561520283,33.675976694352,,32.1484365401841,81.6,26.3042343079035,36207.0,127316.0,3.02145,5037.92837,102.658447265625
